"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
t10dayex,day_10_wednesday_daily_survey,,radio,"<font size=""5.5"">2. Did you exercise today?

<font color=""green"">¿Hizo ejercicio el día de hoy?</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t10daye2,day_10_wednesday_daily_survey,,radio,"<font size=""5.5"">3. How much did you exercise?

<font color=""green"">¿Cuánto tiempo hizo ejercicio?</font>","1, <font size=""4.5""> 1 hour/<font color=""green"">hora</font> | 2, <font size=""4.5""> 2 hours/<font color=""green"">horas</font> | 3, <font size=""4.5""> 3 hours/<font color=""green"">horas</font> | 4, <font size=""4.5""> 4 hours/<font color=""green"">horas</font> | 5, <font size=""4.5""> 5 hours/<font color=""green"">horas</font> | 6, <font size=""4.5""> 6 hours/<font color=""green"">horas</font> | 7, <font size=""4.5""> More than 6 hours<br><font color=""green"">Más de 6 horas</font>",,,,,,"[t10dayex] = ""1""",,,,,,
t10dsmo,day_10_wednesday_daily_survey,,radio,"<font size=""5.5"">4. Did you smoke today?

<font color=""green"">¿Fumó el día de hoy?</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t10dsmo2,day_10_wednesday_daily_survey,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">5. How many cigarettes did you smoke today?<br><br><span style=""color: green;"">¿Cuántos cigarrillos fumó el día de hoy?</span></span></p></div>","1, <font size=""4.5""> 1 One<br><font color=""green"">Uno</font> | 2, <font size=""4.5""> 2 Two<br><font color=""green"">Dos</font> | 3, <font size=""4.5""> 3 Three <br><font color=""green"">Tres</font> | 4, <font size=""4.5""> 4 Four<br><font color=""green"">Cuatro</font> | 5, <font size=""4.5""> 5 Five<br><font color=""green"">Cinco</font> | 6, <font size=""4.5""> 6 Six<br><font color=""green"">Seis</font> | 7, <font size=""4.5""> 7 More than six<br><font color=""green"">Más de seis</font>",,,,,,[t10dsmo]='1',,,,,,
t10dnic,day_10_wednesday_daily_survey,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">6. Did you use any form of nicotine today?<br><br><span style=""color: green;"">¿Usó alguna forma de nicotina el día de hoy?</span></span></p></div>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t10qdnic,day_10_wednesday_daily_survey,,notes,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">7. What kind?<br><span style=""color: green;"">¿Qué tipo?</span></span><br><br><span style=""font-size: x-large;""><span style=""font-weight: normal;"">(Did you use any form of nicotine today?)<br><span style=""color: green;"">(¿Usó alguna forma de nicotina el día de hoy?)</span></span></span></p></div>",,,,,,,"[t10dnic] = ""1""",,,,,,
t10dmari,day_10_wednesday_daily_survey,,radio,"<font size=""5.5"">8a. Did you use marijuana <span style=""font-weight:normal;"">(<i>pot, weed</i>)</span> today? 

<font color=""green"">¿Usó marihuana <span style=""font-weight:normal;"">(<i>mota</i>) </span>el día de hoy?</font></font></font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font></font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font></font>",,,,,,,,,,,,
t10dmariy,day_10_wednesday_daily_survey,,radio,"<font size=""5.5"">8b. Did you use marijuana <span style=""font-weight:normal;"">(<i>pot, weed</i>)</span> yesterday? 

<font color=""green"">¿Usó marihuana <span style=""font-weight:normal;"">(<i>mota</i>) </span>el día de ayer?</font></font></font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font></font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font></font>",,,,,,,,,,,,
t1012hme,day_10_wednesday_daily_survey,,radio,"<font size=""5.5"">9. Did you take/use any medication in the past 12 hours?

<font color=""green"">¿Tomó/usó algún medicamento en las últimas 12 horas?</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t10me2,day_10_wednesday_daily_survey,,checkbox,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">10. Did you take/use any of the following medications in the last 12 hours?<br><br><span style=""color: green;"">¿Tomó/usó algún/algunos de los siguientes medicamentos en las últimas 12 horas?</span></span></p></div>","1, <font size=""4.5""> 1 Steroid inhalers<br><font color=""green"">Inhalador de esteroides</font> | 2, <font size=""4.5""> 2 Steroid medications<br><font color=""green"">Medicamento de esteroides</font> | 3, <font size=""4.5""> 3 Medication that contains cortisone<br><font color=""green"">Medicamento que contiene cortisona</font> | 4, <font size=""4.5""> 4 Birth control pills<br><font color=""green"">Pastillas anticonceptivas</font> | 5, <font size=""4.5""> 5 Anti-depressants or anti-anxiety medication<br><font color=""green"">Antidepresivos o medicamentos contra la ansiedad</font> | 6, <font size=""4.5""> 6 None<br><font color=""green"">Ninguno</font> | 7, <font size=""4.5""> 7 Other<br><font color=""green"">Otro</font>",,,,,,"[t1012hme]=""1""",,,,,,
t10qme2,day_10_wednesday_daily_survey,,notes,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">Please specify.<br><span style=""color: green;"">Por favor especifique.</span></span><br><br><span style=""font-size: x-large;""><span style=""font-weight: normal;"">(Did you take/use any of the following medications in the last 12 hours?)<br><span style=""color: green;"">(¿Tomó/usó algún/algunos de los siguientes medicamentos en las últimas 12 horas?) </span></span></span></p></div>",,,,,,,"[t10me2(7)]=""1""",,,,,,
t10dayme,day_10_wednesday_daily_survey,,radio,"<font size=""5.5"">11. Did you take/use any prescription medication(s) today? <span style=""font-weight:normal;"">(<i>prescribed to you by a medical doctor or professional</i>)</span>

<font color=""green"">¿Tomó/usó algún(os) medicamento(s) de receta hoy? <span style=""font-weight:normal;"">(<i>recetado(s) para usted por un médico o profesional</i>)</span></font></font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,[t1012hme]='1',,,,,,
t10ins02,day_10_wednesday_daily_survey,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: white; border: 1px solid black; font-weight: normal;""><center><br><span style=""font-size: 14pt;""><br><strong><br>SCHEDULED PRESCRIPTION MEDICATION USE<br><span style=""color: green;"">USO DE MEDICAMENTO DE RECETA REGULARES</span></strong><br></span></center><br> <p class=""p1""><span style=""font-size: 14pt;"">You will be asked to review the following medications:</span></p> <ul class=""ul1""> <li class=""li1"" style=""font-size: 14pt;""><span style=""font-size: 14pt;""><span style=""font-weight: bold;"">Scheduled Prescriptions Medications</span> (i.e., prescribed to you by a medical professional taken on a regular basis)</span></li> </ul> <ul class=""ul1""> <li class=""li1"" style=""font-size: 14pt;""><span style=""font-size: 14pt;"">""<span style=""font-weight: bold;"">As Needed"" Prescription Medications</span> (i.e., prescribed to you by a medical professional taken occasionally rather than regularly)</span></li> </ul> <ul class=""ul1""> <li class=""li1"" style=""font-size: 14pt;""><span style=""font-size: 14pt;""><span style=""font-weight: bold;"">Over-the-Counter Medications/Supplements</span> (i.e., medications/supplements NOT prescribed by a medical professional)</span></li> </ul> <span style=""font-size: large;""><strong><u>The text in <span style=""color: orange;"">orange font</span> is your response from the previous day. Please verify if this information is still correct.</u></strong><br><br>Today, <strong>if you added/started a prescription medication</strong>, please select option 1 ""Yes"" and insert the new medication name/frequency/dosage (if applicable), and this change will be reflected in your future surveys. If <strong>ALL 7 medication slots are filled</strong>, a message will show notifying you of this, along with a text box for your additional medications.<br><br><span style=""color: green;"">Le pediremos que revise los siguientes medicamentos:<br></span></span><br> <ul class=""ul1"" style=""color: green;""> <li class=""li1"" style=""font-size: 14pt;""><span style=""font-size: 14pt;""><span style=""font-weight: bold;"">Medicamentos de Receta programados</span> (es decir, recetados por un médico y que se toman de forma regular)</span></li> </ul> <ul class=""ul1"" style=""color: green;""> <li class=""li1"" style=""font-size: 14pt;""><span style=""font-size: 14pt;""><span style=""font-weight: bold;"">Medicamentos de Receta ""Según sea Necesario""</span> (es decir, recetados por un médico y que se toman ocasionalmente en vez de regularmente)</span></li> </ul> <ul class=""ul1"" style=""color: green;""> <li class=""li1"" style=""font-size: 14pt;""><span style=""font-size: 14pt;""><span style=""font-weight: bold;"">Medicamentos/Suplementos sin Receta</span> (es decir, medicamentos/suplementos NO recetados por un médico)</span></li> </ul> <span style=""color: green; font-size: large;""><strong><u>El texto en <span style=""color: orange;"">color naranja</span> es su respuesta del día anterior. Por favor verifique si esta información todavia está correcta.</u></strong><br><br><strong>Si comenzó a tomar un medicamento de receta HOY</strong>, seleccione la opción 1 ""Sí"" e ingrese el nombre, la frecuencia y la dosis del nuevo medicamento (si corresponde). Este cambio se reflejará en sus encuestas en el futuro. Si <strong>TODOS los 7 espacios para medicamentos están llenos</strong>, aparecerá un mensaje notificándole, junto con un cuadro de texto para sus medicamentos adicionales.</span></div> <div style=""background-color: white; border: 1px solid black; font-weight: normal;""> </div></div>",,,,,,,"[t10dayme] = ""1""",,,,,,
t10ins03,day_10_wednesday_daily_survey,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: white; border: 1px solid black; font-weight: normal;""><br><center><span style=""font-size: 14pt;""><strong>SCHEDULED PRESCRIPTION MEDICATION ONLY<br><span style=""color: green;"">SOLAMENTE MEDICAMENTO DE RECETA REGULARES</span></strong></span></center><center><span style=""font-size: 14pt; color: #ffffff;""><strong>asasdfsadf</strong></span></center><center></center><center></center><center></center><center><span style=""color: #000000;"">Daily, 1x week, 2x week, etc.<br></span></center><center><span style=""color: green;"">Diarias, 1x semana, 2x semana, etc.</span></center><center><span style=""color: #ffffff;"">gkghghjk</span></center></div></div>",,,,,,,"[t10dayme] = ""1""",,,,,,
t10rxacnt,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([t10mna1] <> '', 1, 0) + if([t10mna2] <> '', 1, 0) + if([t10mna3] <> '', 1, 0) + if([t10mna4] <> '', 1, 0) + if([t10mna5] <> '', 1, 0) + if([t10mna6] <> '', 1, 0) + if([t10mna7] <> '', 1, 0) + if([t10mna8] <> '', 1, 0))"
t10mna1,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 1, [day_9_tuesday_dail_arm_1][t9mna1], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 0 and [day_9_tuesday_dail_arm_1][t9rxn1n] <> '', [day_9_tuesday_dail_arm_1][t9rxn1n], '')))"
t10mna2,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 2, [day_9_tuesday_dail_arm_1][t9mna2], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 1 and [day_9_tuesday_dail_arm_1][t9rxn1n] <> '', [day_9_tuesday_dail_arm_1][t9rxn1n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 0 and [day_9_tuesday_dail_arm_1][t9rxn2n] <> '', [day_9_tuesday_dail_arm_1][t9rxn2n], ''))))"
t10mna3,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 3, [day_9_tuesday_dail_arm_1][t9mna3], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 2 and [day_9_tuesday_dail_arm_1][t9rxn1n] <> '', [day_9_tuesday_dail_arm_1][t9rxn1n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 1 and [day_9_tuesday_dail_arm_1][t9rxn2n] <> '', [day_9_tuesday_dail_arm_1][t9rxn2n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 0 and [day_9_tuesday_dail_arm_1][t9rxn3n] <> '', [day_9_tuesday_dail_arm_1][t9rxn3n], '')))))"
t10mna4,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 4, [day_9_tuesday_dail_arm_1][t9mna4], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 3 and [day_9_tuesday_dail_arm_1][t9rxn1n] <> '', [day_9_tuesday_dail_arm_1][t9rxn1n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 2 and [day_9_tuesday_dail_arm_1][t9rxn2n] <> '', [day_9_tuesday_dail_arm_1][t9rxn2n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 1 and [day_9_tuesday_dail_arm_1][t9rxn3n] <> '', [day_9_tuesday_dail_arm_1][t9rxn3n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 0 and [day_9_tuesday_dail_arm_1][t9rxn4n] <> '', [day_9_tuesday_dail_arm_1][t9rxn4n], ''))))))"
t10mna5,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 5, [day_9_tuesday_dail_arm_1][t9mna5], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 4 and [day_9_tuesday_dail_arm_1][t9rxn1n] <> '', [day_9_tuesday_dail_arm_1][t9rxn1n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 3 and [day_9_tuesday_dail_arm_1][t9rxn2n] <> '', [day_9_tuesday_dail_arm_1][t9rxn2n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 2 and [day_9_tuesday_dail_arm_1][t9rxn3n] <> '', [day_9_tuesday_dail_arm_1][t9rxn3n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 1 and [day_9_tuesday_dail_arm_1][t9rxn4n] <> '', [day_9_tuesday_dail_arm_1][t9rxn4n], ''))))))"
t10mna6,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 6, [day_9_tuesday_dail_arm_1][t9mna6], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 5 and [day_9_tuesday_dail_arm_1][t9rxn1n] <> '', [day_9_tuesday_dail_arm_1][t9rxn1n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 4 and [day_9_tuesday_dail_arm_1][t9rxn2n] <> '', [day_9_tuesday_dail_arm_1][t9rxn2n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 3 and [day_9_tuesday_dail_arm_1][t9rxn3n] <> '', [day_9_tuesday_dail_arm_1][t9rxn3n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 2 and [day_9_tuesday_dail_arm_1][t9rxn4n] <> '', [day_9_tuesday_dail_arm_1][t9rxn4n], ''))))))"
t10mna7,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 7, [day_9_tuesday_dail_arm_1][t9mna7], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 6 and [day_9_tuesday_dail_arm_1][t9rxn1n] <> '', [day_9_tuesday_dail_arm_1][t9rxn1n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 5 and [day_9_tuesday_dail_arm_1][t9rxn2n] <> '', [day_9_tuesday_dail_arm_1][t9rxn2n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 4 and [day_9_tuesday_dail_arm_1][t9rxn3n] <> '', [day_9_tuesday_dail_arm_1][t9rxn3n], if([day_9_tuesday_dail_arm_1][t9rxacnt] = 3 and [day_9_tuesday_dail_arm_1][t9rxn4n] <> '', [day_9_tuesday_dail_arm_1][t9rxn4n], ''))))))"
t10mna8,day_10_wednesday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([day_9_tuesday_dail_arm_1][t9rxextra] <> '', if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 8, concat([day_9_tuesday_dail_arm_1][t9mna8], '; ', [day_9_tuesday_dail_arm_1][t9rxextra]), concat('', [day_9_tuesday_dail_arm_1][t9rxextra])), if([day_9_tuesday_dail_arm_1][t9rxacnt] >= 8, [day_9_tuesday_dail_arm_1][t9mna8], '')))"
t10rxhd,day_10_wednesday_daily_survey,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: white; border: 2px dashed #cc0000; font-weight: normal; padding: 10px;""><center><span style=""font-size: 14pt;""><strong>SCHEDULED PRESCRIPTION MEDICATION MATRIX<br><br></strong></span></center><center><span style=""color: #000000;"">Scheduled prescription medications taken on a regular schedule.</span></center><center></center></div></div>",,,,,,,"[t10dayme] = ""1""",,,,,,
t10rxu1,day_10_wednesday_daily_survey,,radio,"<span style=""color: orange;"">[t10mna1]</span>","1, Taken today / Tomado hoy",,,,,,"[t10dayme] = ""1"" and [t10mna1] <> """"",,,,t10rxmx,,
t10rxu2,day_10_wednesday_daily_survey,,radio,"<span style=""color: orange;"">[t10mna2]</span>","1, Taken today / Tomado hoy",,,,,,"[t10dayme] = ""1"" and [t10mna2] <> """"",,,,t10rxmx,,
t10rxu3,day_10_wednesday_daily_survey,,radio,"<span style=""color: orange;"">[t10mna3]</span>","1, Taken today / Tomado hoy",,,,,,"[t10dayme] = ""1"" and [t10mna3] <> """"",,,,t10rxmx,,
t10rxu4,day_10_wednesday_daily_survey,,radio,"<span style=""color: orange;"">[t10mna4]</span>","1, Taken today / Tomado hoy",,,,,,"[t10dayme] = ""1"" and [t10mna4] <> """"",,,,t10rxmx,,
t10rxu5,day_10_wednesday_daily_survey,,radio,"<span style=""color: orange;"">[t10mna5]</span>","1, Taken today / Tomado hoy",,,,,,"[t10dayme] = ""1"" and [t10mna5] <> """"",,,,t10rxmx,,
t10rxu6,day_10_wednesday_daily_survey,,radio,"<span style=""color: orange;"">[t10mna6]</span>","1, Taken today / Tomado hoy",,,,,,"[t10dayme] = ""1"" and [t10mna6] <> """"",,,,t10rxmx,,
t10rxu7,day_10_wednesday_daily_survey,,radio,"<span style=""color: orange;"">[t10mna7]</span>","1, Taken today / Tomado hoy",,,,,,"[t10dayme] = ""1"" and [t10mna7] <> """"",,,,t10rxmx,,
t10rxu8,day_10_wednesday_daily_survey,,radio,"<span style=""color: orange;"">[t10mna8]</span>","1, Taken today / Tomado hoy",,,,,,"[t10dayme] = ""1"" and [t10mna8] <> """"",,,,t10rxmx,,
t10rxnw,day_10_wednesday_daily_survey,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">Did you start taking any <span style=""text-decoration: underline;"">new</span> scheduled prescription medications today not previously listed?</span></p> <p><span style=""font-size: 18pt; color: green;"">¿Comenzó a tomar algún medicamento de receta regular <span style=""text-decoration: underline;"">nuevo</span> hoy que no aparecía anteriormente en la lista?</span></p></div>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font></font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font></font>",,,,,,"[t10dayme] = ""1""",,,,,,
t10rxnm,day_10_wednesday_daily_survey,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">How many <span style=""text-decoration: underline;"">new</span> scheduled prescription medications did you take today?</span></p> <p><span style=""color: green;""><span style=""font-size: 18pt;"">¿Cuántos medicamentos de receta regulares <span style=""text-decoration: underline;"">nuevos</span> tomó hoy?</span></span></p></div>","1, <font size=""4.5""> 1 | 2, <font size=""4.5""> 2 | 3, <font size=""4.5""> 3 | 4, <font size=""4.5""> 4",,,,,,"[t10rxnw] = ""1"" and [t10rxacnt] <= 3",,,,,,
t10rxnm3,day_10_wednesday_daily_survey,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">How many <span style=""text-decoration: underline;"">new</span> scheduled prescription medications did you take today?</span></p> <p><span style=""color: green;""><span style=""font-size: 18pt;"">¿Cuántos medicamentos de receta regulares <span style=""text-decoration: underline;"">nuevos</span> tomó hoy?</span></span></p></div>","1, <font size=""4.5""> 1 | 2, <font size=""4.5""> 2 | 3, <font size=""4.5""> 3",,,,,,"[t10rxnw] = ""1"" and [t10rxacnt] = 4",,,,,,
t10rxnm2,day_10_wednesday_daily_survey,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">How many <span style=""text-decoration: underline;"">new</span> scheduled prescription medications did you take today?</span></p> <p><span style=""color: green;""><span style=""font-size: 18pt;"">¿Cuántos medicamentos de receta regulares <span style=""text-decoration: underline;"">nuevos</span> tomó hoy?</span></span></p></div>","1, <font size=""4.5""> 1 | 2, <font size=""4.5""> 2",,,,,,"[t10rxnw] = ""1"" and [t10rxacnt] = 5",,,,,,
t10rxnm1,day_10_wednesday_daily_survey,,radio,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;"">How many <span style=""text-decoration: underline;"">new</span> scheduled prescription medications did you take today?</span></p> <p><span style=""color: green;""><span style=""font-size: 18pt;"">¿Cuántos medicamentos de receta regulares <span style=""text-decoration: underline;"">nuevos</span> tomó hoy?</span></span></p></div>","1, <font size=""4.5""> 1",,,,,,"[t10rxnw] = ""1"" and [t10rxacnt] = 6",,,,,,
t10rxn1n,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Name of new scheduled prescription medication 1</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Nombre del medicamento de receta regular nuevo 1</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""1"" or [t10rxnm3] >= ""1"" or [t10rxnm2] >= ""1"" or [t10rxnm1] = ""1"")",,,,,,
t10rxn1f,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Frequency of new scheduled prescription medication 1</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Frecuencia del medicamento de receta regular nuevo 1</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""1"" or [t10rxnm3] >= ""1"" or [t10rxnm2] >= ""1"" or [t10rxnm1] = ""1"")",,,,,,
t10rxn1d,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Dose of new scheduled prescription medication 1</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Dosis del medicamento de receta regular nuevo 1</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""1"" or [t10rxnm3] >= ""1"" or [t10rxnm2] >= ""1"" or [t10rxnm1] = ""1"")",,,,,,
t10rxn2n,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Name of new scheduled prescription medication 2</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Nombre del medicamento de receta regular nuevo 2</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""2"" or [t10rxnm3] >= ""2"" or [t10rxnm2] >= ""2"")",,,,,,
t10rxn2f,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Frequency of new scheduled prescription medication 2</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Frecuencia del medicamento de receta regular nuevo 2</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""2"" or [t10rxnm3] >= ""2"" or [t10rxnm2] >= ""2"")",,,,,,
t10rxn2d,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Dose of new scheduled prescription medication 2</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Dosis del medicamento de receta regular nuevo 2</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""2"" or [t10rxnm3] >= ""2"" or [t10rxnm2] >= ""2"")",,,,,,
t10rxn3n,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Name of new scheduled prescription medication 3</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Nombre del medicamento de receta regular nuevo 3</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""3"" or [t10rxnm3] >= ""3"")",,,,,,
t10rxn3f,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Frequency of new scheduled prescription medication 3</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Frecuencia del medicamento de receta regular nuevo 3</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""3"" or [t10rxnm3] >= ""3"")",,,,,,
t10rxn3d,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Dose of new scheduled prescription medication 3</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Dosis del medicamento de receta regular nuevo 3</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxnm] >= ""3"" or [t10rxnm3] >= ""3"")",,,,,,
t10rxn4n,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Name of new scheduled prescription medication 4</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Nombre del medicamento de receta regular nuevo 4</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and [t10rxnm] >= ""4""",,,,,,
t10rxn4f,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Frequency of new scheduled prescription medication 4</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Frecuencia del medicamento de receta regular nuevo 4</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and [t10rxnm] >= ""4""",,,,,,
t10rxn4d,day_10_wednesday_daily_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-size: x-large;""><strong>Dose of new scheduled prescription medication 4</strong></span></p><p><span style=""font-size: x-large; color: green;""><strong>Dosis del medicamento de receta regular nuevo 4</strong></span></p></div>",,,,,,,"[t10rxnw] = ""1"" and [t10rxnm] >= ""4""",,,,,,
t10rxextra_msg,day_10_wednesday_daily_survey,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #fff4f4; border: 1px solid #e6b8b8; padding: 10px;""><p><span style=""font-size: x-large;""><strong>You have reached the maximum number of individual scheduled prescription medication entries that this survey can display. If you started any additional scheduled prescription medications today beyond what you can enter above, please list them together in the box below.</strong></span></p> <p><span style=""font-size: x-large; color: green;""><strong>Ha alcanzado el límite de entradas individuales de medicamentos de receta regulares que esta encuesta puede mostrar. Si comenzó a tomar medicamentos de receta regulares adicionales hoy además de los que puede ingresar arriba, por favor escríbalos juntos en el cuadro de abajo.</strong></span></p></div></div>",,,,,,,"[t10rxnw] = ""1"" and ([t10rxacnt] >= 7 or ([t10rxacnt] = 3 and [t10rxnm] = ""4"") or ([t10rxacnt] = 4 and [t10rxnm3] = ""3"") or ([t10rxacnt] = 5 and [t10rxnm2] = ""2"") or ([t10rxacnt] = 6 and [t10rxnm1] = ""1""))",,,,,,
